Geo_id,Geo_id_type,Positive,Total,Deaths,Update_time,Source_geo
85135,ZCTA,0,NA,NA,2020-05-22,Arizona
85707,ZCTA,0,NA,NA,2020-05-22,Arizona
85705,ZCTA,90,NA,NA,2020-05-22,Arizona
85706,ZCTA,161,NA,NA,2020-05-22,Arizona
85710,ZCTA,92,NA,NA,2020-05-22,Arizona
85741,ZCTA,67,NA,NA,2020-05-22,Arizona
85711,ZCTA,110,NA,NA,2020-05-22,Arizona
85719,ZCTA,67,NA,NA,2020-05-22,Arizona
85540,ZCTA,0,NA,NA,2020-05-22,Arizona
85716,ZCTA,58,NA,NA,2020-05-22,Arizona
85712,ZCTA,103,NA,NA,2020-05-22,Arizona
85715,ZCTA,23,NA,NA,2020-05-22,Arizona
85714,ZCTA,129,NA,NA,2020-05-22,Arizona
85701,ZCTA,16,NA,NA,2020-05-22,Arizona
85708,ZCTA,0,NA,NA,2020-05-22,Arizona
85531,ZCTA,0,NA,NA,2020-05-22,Arizona
85901,ZCTA,25,NA,NA,2020-05-22,Arizona
85501,ZCTA,6,NA,NA,2020-05-22,Arizona
85545,ZCTA,0,NA,NA,2020-05-22,Arizona
85137,ZCTA,1,NA,NA,2020-05-22,Arizona
85539,ZCTA,1,NA,NA,2020-05-22,Arizona
85929,ZCTA,1,NA,NA,2020-05-22,Arizona
85935,ZCTA,13,NA,NA,2020-05-22,Arizona
85923,ZCTA,0,NA,NA,2020-05-22,Arizona
85934,ZCTA,1,NA,NA,2020-05-22,Arizona
85554,ZCTA,0,NA,NA,2020-05-22,Arizona
85532,ZCTA,1,NA,NA,2020-05-22,Arizona
85533,ZCTA,1,NA,NA,2020-05-22,Arizona
85938,ZCTA,0,NA,NA,2020-05-22,Arizona
85925,ZCTA,1,NA,NA,2020-05-22,Arizona
85536,ZCTA,1,NA,NA,2020-05-22,Arizona
85922,ZCTA,0,NA,NA,2020-05-22,Arizona
85920,ZCTA,0,NA,NA,2020-05-22,Arizona
85927,ZCTA,0,NA,NA,2020-05-22,Arizona
85932,ZCTA,0,NA,NA,2020-05-22,Arizona
85940,ZCTA,1,NA,NA,2020-05-22,Arizona
86046,ZCTA,1,NA,NA,2020-05-22,Arizona
86337,ZCTA,0,NA,NA,2020-05-22,Arizona
86301,ZCTA,34,NA,NA,2020-05-22,Arizona
86320,ZCTA,1,NA,NA,2020-05-22,Arizona
86334,ZCTA,1,NA,NA,2020-05-22,Arizona
86305,ZCTA,15,NA,NA,2020-05-22,Arizona
86321,ZCTA,1,NA,NA,2020-05-22,Arizona
86303,ZCTA,1,NA,NA,2020-05-22,Arizona
86338,ZCTA,0,NA,NA,2020-05-22,Arizona
86323,ZCTA,6,NA,NA,2020-05-22,Arizona
86437,ZCTA,1,NA,NA,2020-05-22,Arizona
86024,ZCTA,0,NA,NA,2020-05-22,Arizona
86004,ZCTA,142,NA,NA,2020-05-22,Arizona
86001,ZCTA,85,NA,NA,2020-05-22,Arizona
86336,ZCTA,13,NA,NA,2020-05-22,Arizona
86018,ZCTA,0,NA,NA,2020-05-22,Arizona
86017,ZCTA,1,NA,NA,2020-05-22,Arizona
86326,ZCTA,87,NA,NA,2020-05-22,Arizona
86322,ZCTA,11,NA,NA,2020-05-22,Arizona
86327,ZCTA,11,NA,NA,2020-05-22,Arizona
86331,ZCTA,0,NA,NA,2020-05-22,Arizona
86005,ZCTA,27,NA,NA,2020-05-22,Arizona
86324,ZCTA,1,NA,NA,2020-05-22,Arizona
86038,ZCTA,0,NA,NA,2020-05-22,Arizona
86325,ZCTA,1,NA,NA,2020-05-22,Arizona
86315,ZCTA,13,NA,NA,2020-05-22,Arizona
86335,ZCTA,1,NA,NA,2020-05-22,Arizona
86314,ZCTA,45,NA,NA,2020-05-22,Arizona
86351,ZCTA,6,NA,NA,2020-05-22,Arizona
86015,ZCTA,1,NA,NA,2020-05-22,Arizona
86329,ZCTA,0,NA,NA,2020-05-22,Arizona
86021,ZCTA,1,NA,NA,2020-05-22,Arizona
86052,ZCTA,0,NA,NA,2020-05-22,Arizona
86023,ZCTA,1,NA,NA,2020-05-22,Arizona
86022,ZCTA,1,NA,NA,2020-05-22,Arizona
